Tract full,Health District?,Health sub-district,Population 2010,# primary care phsyicians (TG_DOC),# specialist physicians (TS_DOC),ob-gyn physicians (TO_DOC),Primary Care physicians 50 and under (TG_LT50DOC),Secialist physicians 50 and under (TS_LT50DOC),OBGYN  50 and under (TO_LT50DOC),# residents and fellows (TG_RESDOC),# specialist residents & fellows (TS_RESDOC),# OBGYN residents & fellows (TO_RESDOC),# primary care physican assistants (TPA_PC),# federally qualified health centers (TFQHC10),FQHC look-alike sites (TFQHCGF),# dentists federal (TDNTFED),"# dentists non-federal, all (TDNTNF_ALL)",# dentists full-time (TDNTNF_PRA),% of beneficiaries with at least 1 primary care visit (TPVT_PC10),% of beneficiaries with at least 1 ambulatory visit (TPVT_AM10),% of beneficiaries with at least 1 OBG-YN visit (TPVT_OBG10),% of beneficiaries with at least 1 Emerg Dept visit (TPVT_ED10),Denominator for mortality rates (Medicaire > 65) (TTMDEN_10),# of deaths among beneficiaries (TTMORT_10),Mortality rate BB calculated (Mortality rate BB calculated),% white (% white),White alone (TP3I2),% black (% black),# black (alone) (TP3I3),Total Population (occupied units) (TH11I1),Population owner occupied units (mortgage) (TH11I2),Population owner occupied units (free & clear) (TH11I3),Population renter occupied units (TH11I4),Ratio of income to poverty level (.5 and below) (TPV50),.5 to .99 (TPV5099),1 to 1.24 (TPV100124),1.25 to 1.49 (TPV125149),1.5 to 1.84 (TPV150184),1.85 to 1.99 (TPV185199),2 and up (TPV200UP),Income below poverty (TFBPV),Male 18 to 64 civilian (TMCV1864),Female 18 to 64 civilian (TFCV1864),Total occupied housing units (TTOTOCH),Owners (TOWNOCH),Renters (TRNTOCH),Median household income (TMHI),Total household income (Total household income),Total income (TOTAL INCOME),Per capita income (TPCINCOME),Median home value (TMVOWNH),Total home values (Total home values),Total population (non-institutionalized) (TINSPOPN),Insured (TINSA0005N),Insured (TINSA0617N),Insured (TINSA1824N),Insured (TINSA2534N),Insured (TINSA3544N),Insured (TINSA4554N),Insured (TINSA5564N),Insured (TINSA6574N),Insured (TINSA75UPN),Total insured (TOTAL INSURED),Total uninsured (TOTAL UNINSURED),% insured among employed 18 to 64 (TEMIN1864P),% uninsured among employed 18 to 64 (TEMNO1864P),% no insurance 0 to 17 (TNOIN0018P),% no insurance 18 to 64 (TNOIN1864P),"Population 18 to 64 (Population, 18 to 64)","# uninsured 18 to 64 (# uninsured, 18 to 64)","""Food Desert"" tract (low-income 1 and 10) (LILATracts_1And10)",Rural (Rural),Housing Units (OHU2010),Population 2010 (POP2010),Low Access Population (1 mile) (lapop1),Low-income low-access population (1 mile) (lalowi1),Low access kids (1 mile) (lakids1),Low access seniors (1 mile) (laseniors1)
22033000100,Yes,3,1624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.6,79.4,NA,,81,NA,NA,4%,73,94%,1529,1624,372,236,1016,243,505,78,278,80,127,509,103,535,535,496,413,83,24069,11938224,17380048,10702,67300,27794900,1886,321,404,110,237,178,74,75,89,18,1506,380,65.30%,30.80%,1.00%,19.10%,1070,205,0,0,534,1624,32,23,10,2
22033000200,Yes,3,6750,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,78.6,86.4,NA,40.9,440,25,0.1,6%,419,93%,6208,6711,1843,636,4232,1203,1445,678,490,1194,190,1769,577,1559,2378,2433,1073,1360,22905,55727865,77550750,11489,77100,82728300,7031,621,1304,738,256,465,684,751,313,324,5456,1575,64.30%,33.10%,0.00%,22.40%,3937,882,0,0,2447,6750,0,0,0,0
22033000300,Yes,3,1795,2,0,0,1,0,0,0,0,0,0,0,0,0,6,5,78,86,NA,37,207,NA,NA,5%,94,95%,1677,1768,577,260,931,23,267,257,38,380,151,539,67,440,588,599,412,187,37875,22687125,26623440,14832,65600,27027200,1447,129,220,152,70,111,159,140,34,16,1031,416,68.80%,30.10%,3.70%,25.10%,1028,258,0,0,633,1795,53,35,16,6
22033000400,Yes,3,3082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.5,81.9,NA,37.2,195,NA,NA,7%,203,93%,2837,3047,1315,349,1383,587,692,162,198,174,258,882,288,807,900,913,468,445,23220,21199860,31310038,10159,72600,33976800,3198,326,671,354,156,176,398,234,124,122,2561,637,70.10%,26.80%,1.10%,18.40%,1707,314,0,0,1027,3082,0,0,0,0
22033000500,Yes,6,4152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.9,79.8,NA,37.9,371,20,0.1,3%,113,97%,3992,4127,935,691,2501,1141,1153,315,283,221,192,907,444,1114,1342,1427,557,870,17179,24514433,34598616,8333,47100,26234700,4259,626,728,357,244,190,321,293,200,96,3055,1204,51.90%,45.50%,3.20%,25.10%,2456,616,1,0,1425,4152,736,570,226,78
22033000601,Yes,3,3645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.9,85,NA,42.5,211,14,0.1,3%,120,95%,3479,3645,1424,466,1755,472,1445,112,469,200,40,861,381,721,1217,1219,727,492,24512,29880128,38975985,10693,74100,53870700,3471,337,1010,170,202,189,280,255,172,41,2656,815,56.70%,40.70%,1.80%,21.70%,1938,420,0,0,1236,3645,0,0,0,0
22033000602,Yes,6,4275,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,79,86.3,9.8,39.1,492,30,0.1,1%,64,97%,4145,4275,1505,977,1793,135,845,354,290,269,268,1695,203,956,1434,1444,826,618,28110,40590840,61376175,14357,69700,57572200,4445,565,739,213,207,325,353,466,398,160,3426,1019,53.80%,41.30%,0.50%,21.40%,2390,511,0,0,1567,4275,0,0,0,0
22033000701,Yes,3,2433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.7,85.4,NA,31.5,155,NA,NA,8%,188,87%,2122,2433,905,264,1264,197,284,100,96,418,181,1091,114,639,816,771,445,326,31319,24146949,39784416,16352,90500,40272500,2223,227,287,247,347,154,181,154,110,41,1748,475,66.40%,31.70%,0.00%,21.40%,1455,311,0,0,873,2433,0,0,0,0
22033000702,Yes,7,3594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.2,90.3,15.5,26.1,293,NA,NA,4%,143,96%,3352,3477,1211,441,1825,82,559,547,563,356,113,1567,110,1116,1492,1395,551,844,30092,41978340,51534366,14339,82900,45677900,3543,300,512,273,246,265,458,251,135,145,2585,958,67.40%,29.90%,2.10%,25.00%,2608,651,0,0,1419,3594,0,0,0,0
22033000900,Yes,6,4239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.7,86.2,9.8,30.2,553,24,0,1%,43,98%,4143,4218,1000,1051,2167,442,1074,541,416,491,93,1350,345,1317,1318,1543,876,667,23413,36126259,51787863,12217,68700,60181200,4839,482,695,269,340,171,439,454,322,265,3437,1402,52.60%,43.60%,0.40%,28.50%,2635,752,1,0,1576,4239,572,405,141,70
22033001000,Yes,6,3527,5,0,0,3,0,0,0,0,0,1,0,0,0,2,2,76.8,83,7.7,33.7,470,32,0.1,0%,15,99%,3465,3515,507,1132,1876,669,881,479,337,344,131,1406,223,1413,1291,1465,815,650,23438,34336670,40528757,11491,33400,27221000,3573,333,289,161,227,211,392,390,312,228,2543,1030,54.60%,43.70%,0.90%,27.90%,2704,754,0,0,1389,3527,0,0,0,0
22033001102,Yes,7,3388,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,65.7,81.2,12.4,40.8,451,33,0.1,23%,729,80%,2491,3107,597,193,2317,297,417,87,229,183,284,1887,110,876,1152,1559,250,1309,26840,41843560,62417124,18423,118500,29625000,3299,284,600,349,419,238,265,210,180,231,2776,523,78.00%,20.20%,0.40%,15.50%,2028,314,1,0,1543,3388,626,172,45,354
22033001103,Yes,7,3281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,82.8,NA,34.5,203,16,0.1,9%,280,90%,2955,3281,1112,368,1801,377,327,269,258,520,81,1352,146,990,883,1195,545,650,33135,39596325,61151278,18638,100900,54990500,2945,273,513,163,189,221,123,185,327,116,2110,835,53.80%,41.50%,0.70%,27.70%,1873,519,0,0,1157,3281,0,0,0,0
